,discharge,datetime
713,63.80842,1902-12-15
714,62.234432,1902-12-16
715,81.01703,1902-12-17
716,153.64075,1902-12-18
717,217.48218,1902-12-19
718,238.54095,1902-12-20
719,221.813,1902-12-21
720,181.13664,1902-12-22
721,148.94682,1902-12-23
722,125.85561,1902-12-24
723,109.9242,1902-12-25
724,126.32907,1902-12-26
725,247.37459,1902-12-27
726,488.4689,1902-12-28
727,565.608,1902-12-29
728,485.3501,1902-12-30
729,417.29395,1902-12-31
730,359.46762,1903-01-01
731,286.44568,1903-01-02
732,245.81137,1903-01-03
733,279.5892,1903-01-04
734,437.808,1903-01-05
735,599.2754,1903-01-06
736,516.49146,1903-01-07
737,381.76535,1903-01-08
738,286.03232,1903-01-09
739,227.8052,1903-01-10
740,193.62897,1903-01-11
741,173.32417,1903-01-12
742,161.14864,1903-01-13
743,153.95213,1903-01-14
744,150.00105,1903-01-15
745,148.5031,1903-01-16
746,148.5434,1903-01-17
747,149.18565,1903-01-18
748,149.88593,1903-01-19
749,150.3629,1903-01-20
750,150.50496,1903-01-21
751,150.2959,1903-01-22
752,149.77205,1903-01-23
753,148.9933,1903-01-24
754,148.01836,1903-01-25
755,146.92848,1903-01-26
756,145.91989,1903-01-27
757,144.96243,1903-01-28
758,143.78487,1903-01-29
759,142.34291,1903-01-30
760,140.86923,1903-01-31
761,139.23193,1903-02-01
762,137.44719,1903-02-02
763,135.56755,1903-02-03
764,133.75897,1903-02-04
765,132.1035,1903-02-05
766,130.49297,1903-02-06
767,128.80922,1903-02-07
768,127.05482,1903-02-08
769,125.39993,1903-02-09
770,124.79367,1903-02-10
771,125.53803,1903-02-11
772,126.310036,1903-02-12
773,126.036194,1903-02-13
774,124.64933,1903-02-14
775,122.555176,1903-02-15
776,120.21893,1903-02-16
777,117.98728,1903-02-17
778,115.96528,1903-02-18
779,114.15374,1903-02-19
780,112.530495,1903-02-20
781,111.04887,1903-02-21
782,109.66177,1903-02-22
783,108.3345,1903-02-23
784,107.1308,1903-02-24
785,106.06059,1903-02-25
