,discharge,datetime
805,1493.2498,1903-03-17
806,1474.4055,1903-03-18
807,1455.9884,1903-03-19
808,1434.2426,1903-03-20
809,1415.7095,1903-03-21
810,1400.8384,1903-03-22
811,1386.7109,1903-03-23
812,1382.9398,1903-03-24
813,1374.7747,1903-03-25
814,1350.7383,1903-03-26
815,1329.5082,1903-03-27
816,1318.4213,1903-03-28
817,1315.2924,1903-03-29
818,1354.0339,1903-03-30
819,1426.5243,1903-03-31
820,1431.6632,1903-04-01
821,1416.9213,1903-04-02
822,1406.9199,1903-04-03
823,1469.6459,1903-04-04
824,1588.8278,1903-04-05
825,1593.323,1903-04-06
826,1576.5076,1903-04-07
827,1561.0057,1903-04-08
828,1536.8691,1903-04-09
829,1513.687,1903-04-10
830,1489.9852,1903-04-11
831,1467.9102,1903-04-12
832,1462.4753,1903-04-13
833,1450.112,1903-04-14
834,1424.9598,1903-04-15
835,1405.5085,1903-04-16
836,1389.1206,1903-04-17
837,1381.0665,1903-04-18
838,1372.2981,1903-04-19
839,1359.9038,1903-04-20
840,1358.8254,1903-04-21
841,1433.751,1903-04-22
842,1586.293,1903-04-23
843,1705.5394,1903-04-24
844,1752.0275,1903-04-25
845,1698.0741,1903-04-26
846,1608.8177,1903-04-27
847,1534.5225,1903-04-28
848,1470.892,1903-04-29
849,1423.2104,1903-04-30
850,1393.8955,1903-05-01
851,1378.0496,1903-05-02
852,1356.6687,1903-05-03
853,1336.7085,1903-05-04
854,1334.8618,1903-05-05
855,1325.3302,1903-05-06
856,1309.5902,1903-05-07
857,1301.1881,1903-05-08
858,1290.0702,1903-05-09
859,1285.9772,1903-05-10
860,1306.2686,1903-05-11
861,1339.3727,1903-05-12
862,1384.16,1903-05-13
863,1478.7432,1903-05-14
864,1619.0283,1903-05-15
865,1771.7762,1903-05-16
866,1913.0278,1903-05-17
867,2017.9943,1903-05-18
868,2068.2686,1903-05-19
869,2073.3977,1903-05-20
870,2049.8647,1903-05-21
871,2012.7648,1903-05-22
872,1972.6306,1903-05-23
873,1940.163,1903-05-24
874,1926.3245,1903-05-25
875,1936.2188,1903-05-26
876,1965.616,1903-05-27
877,2004.7333,1903-05-28
878,2036.5591,1903-05-29
879,2056.328,1903-05-30
880,2059.847,1903-05-31
881,2083.6345,1903-06-01
882,2169.3254,1903-06-02
883,2224.552,1903-06-03
884,2293.0793,1903-06-04
885,2413.2815,1903-06-05
886,2518.1345,1903-06-06
887,2563.3867,1903-06-07
888,2553.4937,1903-06-08
889,2515.7073,1903-06-09
890,2482.2397,1903-06-10
891,2478.8481,1903-06-11
892,2544.1626,1903-06-12
893,2593.513,1903-06-13
894,2651.0845,1903-06-14
895,2735.1047,1903-06-15
896,2889.8018,1903-06-16
897,3105.5405,1903-06-17
898,3166.9114,1903-06-18
899,3137.5793,1903-06-19
900,3095.905,1903-06-20
901,3070.3928,1903-06-21
902,2942.2795,1903-06-22
903,2831.5159,1903-06-23
904,2759.3953,1903-06-24
905,2712.5974,1903-06-25
906,2657.6553,1903-06-26
907,2581.633,1903-06-27
908,2493.391,1903-06-28
909,2418.7693,1903-06-29
910,2368.367,1903-06-30
911,2337.9336,1903-07-01
912,2326.1309,1903-07-02
913,2326.475,1903-07-03
914,2327.8345,1903-07-04
915,2322.4426,1903-07-05
916,2348.203,1903-07-06
917,2432.8389,1903-07-07
918,2509.7808,1903-07-08
919,2589.8372,1903-07-09
920,2601.916,1903-07-10
921,2532.999,1903-07-11
922,2427.3894,1903-07-12
923,2291.7795,1903-07-13
924,2104.5217,1903-07-14
925,2023.0752,1903-07-15
926,2009.6237,1903-07-16
927,2258.278,1903-07-17
928,2669.1763,1903-07-18
929,3137.0862,1903-07-19
930,3528.386,1903-07-20
931,3583.6184,1903-07-21
932,3302.1968,1903-07-22
933,3052.8147,1903-07-23
934,2932.6316,1903-07-24
935,2757.8953,1903-07-25
936,2677.0464,1903-07-26
937,2591.3271,1903-07-27
938,2571.5227,1903-07-28
939,2681.814,1903-07-29
940,2678.0342,1903-07-30
941,2615.6826,1903-07-31
