,discharge,datetime
700,834.2427,1902-12-02
701,907.16077,1902-12-03
702,981.7735,1902-12-04
703,1022.1059,1902-12-05
704,1056.343,1902-12-06
705,1092.7533,1902-12-07
706,1122.3467,1902-12-08
707,1130.9434,1902-12-09
708,1111.3539,1902-12-10
709,1068.4393,1902-12-11
710,1013.6316,1902-12-12
711,957.5553,1902-12-13
712,906.7774,1902-12-14
713,874.2149,1902-12-15
714,847.25256,1902-12-16
715,819.89026,1902-12-17
716,817.2065,1902-12-18
717,864.44543,1902-12-19
718,952.51544,1902-12-20
719,1059.7474,1902-12-21
720,1176.008,1902-12-22
721,1289.0706,1902-12-23
722,1384.9061,1902-12-24
723,1430.5275,1902-12-25
724,1437.9354,1902-12-26
725,1434.9319,1902-12-27
726,1471.965,1902-12-28
727,1628.3939,1902-12-29
728,2001.737,1902-12-30
729,2375.4526,1902-12-31
730,2555.4414,1903-01-01
731,2514.7761,1903-01-02
732,2403.324,1903-01-03
733,2511.742,1903-01-04
734,3245.0867,1903-01-05
735,4124.852,1903-01-06
736,4299.944,1903-01-07
737,3972.4949,1903-01-08
738,3545.3286,1903-01-09
739,3186.2114,1903-01-10
740,2938.5796,1903-01-11
741,2787.7627,1903-01-12
742,2717.1187,1903-01-13
743,2738.7688,1903-01-14
744,2886.8677,1903-01-15
745,3113.8074,1903-01-16
746,3282.306,1903-01-17
747,3319.8271,1903-01-18
748,3256.9282,1903-01-19
749,3149.5288,1903-01-20
750,3034.047,1903-01-21
751,2926.783,1903-01-22
752,2833.6587,1903-01-23
753,2755.4568,1903-01-24
754,2689.781,1903-01-25
755,2632.5457,1903-01-26
756,2585.153,1903-01-27
757,2532.45,1903-01-28
758,2479.074,1903-01-29
759,2429.865,1903-01-30
760,2384.1829,1903-01-31
761,2340.102,1903-02-01
762,2296.4897,1903-02-02
763,2250.2156,1903-02-03
764,2203.196,1903-02-04
765,2157.8286,1903-02-05
766,2113.9475,1903-02-06
767,2070.6753,1903-02-07
768,2029.3102,1903-02-08
769,1987.145,1903-02-09
770,1944.7322,1903-02-10
771,1899.5322,1903-02-11
772,1846.96,1903-02-12
773,1786.0612,1903-02-13
774,1723.9703,1903-02-14
775,1669.048,1903-02-15
776,1623.3427,1903-02-16
777,1582.8557,1903-02-17
778,1542.694,1903-02-18
779,1500.6073,1903-02-19
780,1457.044,1903-02-20
781,1413.4784,1903-02-21
782,1375.4431,1903-02-22
783,1343.6333,1903-02-23
784,1307.4922,1903-02-24
785,1270.6382,1903-02-25
786,1239.7369,1903-02-26
787,1265.1289,1903-02-27
788,1329.8062,1903-02-28
789,1338.3801,1903-03-01
790,1347.231,1903-03-02
791,1350.9775,1903-03-03
792,1359.6884,1903-03-04
793,1414.4628,1903-03-05
794,1478.862,1903-03-06
795,1521.5262,1903-03-07
796,1555.5078,1903-03-08
797,1583.2428,1903-03-09
798,1595.9335,1903-03-10
799,1587.8156,1903-03-11
800,1563.6007,1903-03-12
801,1532.1587,1903-03-13
802,1500.1086,1903-03-14
803,1470.4299,1903-03-15
804,1443.6316,1903-03-16
805,1419.174,1903-03-17
806,1401.2906,1903-03-18
807,1382.5593,1903-03-19
808,1359.0576,1903-03-20
809,1337.3479,1903-03-21
810,1318.1298,1903-03-22
811,1298.0444,1903-03-23
812,1284.611,1903-03-24
813,1262.6332,1903-03-25
814,1222.6122,1903-03-26
815,1186.0277,1903-03-27
816,1164.3037,1903-03-28
817,1159.1604,1903-03-29
818,1207.3894,1903-03-30
819,1328.3003,1903-03-31
820,1468.9082,1903-04-01
821,1661.5502,1903-04-02
822,1838.832,1903-04-03
823,1990.1206,1903-04-04
824,2086.0623,1903-04-05
825,1994.9484,1903-04-06
826,1874.1798,1903-04-07
827,1770.4489,1903-04-08
828,1681.6666,1903-04-09
829,1614.9907,1903-04-10
830,1562.9674,1903-04-11
831,1522.873,1903-04-12
832,1505.32,1903-04-13
833,1484.001,1903-04-14
834,1452.1904,1903-04-15
835,1426.9021,1903-04-16
836,1402.2333,1903-04-17
837,1378.5719,1903-04-18
838,1344.8359,1903-04-19
839,1301.2327,1903-04-20
840,1267.2845,1903-04-21
841,1305.33,1903-04-22
842,1412.6604,1903-04-23
843,1494.8541,1903-04-24
844,1534.2389,1903-04-25
845,1504.0575,1903-04-26
846,1451.8789,1903-04-27
847,1419.4458,1903-04-28
848,1397.2963,1903-04-29
849,1383.0898,1903-04-30
850,1375.4026,1903-05-01
851,1372.1337,1903-05-02
852,1360.2429,1903-05-03
853,1351.9912,1903-05-04
854,1371.1093,1903-05-05
855,1406.6813,1903-05-06
856,1478.2817,1903-05-07
857,1603.7352,1903-05-08
858,1756.7285,1903-05-09
859,1928.3632,1903-05-10
860,2127.7478,1903-05-11
861,2334.5125,1903-05-12
862,2527.7712,1903-05-13
863,2702.1934,1903-05-14
864,2804.412,1903-05-15
865,2816.543,1903-05-16
866,2765.953,1903-05-17
867,2681.4907,1903-05-18
868,2581.2502,1903-05-19
869,2482.2888,1903-05-20
870,2386.7734,1903-05-21
871,2301.8586,1903-05-22
872,2241.2559,1903-05-23
873,2220.5496,1903-05-24
874,2249.2666,1903-05-25
